Data,Predicted (Model)
1,0.225135637
0,0.015354609
0,0.0001
1,0.417204888
0,0.0001
1,0.825845697
1,0.566671094
0,0.361344126
1,0.138533613
0,0.0001
0,0.0001
0,0.10015621
0,0.519371562
1,0.687709876
1,0.488898237
1,0.471409091
0,0.118468641
1,0.373571663
0,0.0001
0,0.078786849
0,0.067795272
1,0.421387476
1,0.83791151
0,0.0001
1,0.457122298
0,0.405682588
1,0.580764825
1,0.218196512
1,0.655224335
1,0.855784984
1,0.50579238
1,0.084138364
0,0.0001
1,0.821532224
1,0.678781002
1,0.926816559
0,0.50659274
0,0.164581177
1,0.328660268
1,0.288377542
0,0.059794767
1,0.62206104
0,0.064220637
1,0.791833862
1,0.207360705
1,0.34374656
1,0.225577433
1,0.75455163
1,0.506957704
0,0.0001
0,0.058930078
1,0.749783305
0,0.03936428
1,0.850028134
0,0.172089154
0,0.066416753
1,0.567490629
0,0.057332485
1,0.761940543
0,0.125667186
1,0.678991758
0,0.228706155
1,0.68499118
0,0.09513121
1,0.351269244
1,0.570312751
0,0.0001
1,0.138407109
0,0.439762099
0,0.200565587
0,0.0001
0,0.133003815
1,0.404646644
1,0.550891144
1,0.415110029
1,0.42737024
1,0.175065829
0,0.38808125
1,0.570520642
1,0.6173936
0,0.0001
0,0.223786655
1,0.245724872
0,0.147310984
1,0.656746637
0,0.136984071
1,0.694440361
0,0.403283901
1,0.253220092
1,0.587039158
0,0.096477247
1,0.77295129
0,0.081595909
1,0.138402045
1,0.372460544
0,0.036575703
1,0.278538797
1,0.729871568
1,0.544152042
1,0.8140683
0,0.108877327
0,0.0001
0,0.0001
0,0.140347197
0,0.0001
0,0.111951146
0,0.273102486
1,0.746288955
1,0.280770148
1,0.441145204
1,0.194084087
1,0.300068795
1,0.881620015
1,0.44164248
0,0.0001
0,0.227901755
0,0.2157731
1,0.652973156
0,0.361191701
0,0.0001
1,0.544357267
0,0.216806743
1,0.663144573
0,0.390221372
0,0.0001
0,0.017205352
0,0.046550353
1,0.497414924
1,0.375995967
0,0.211114841
0,0.0001
1,0.338798002
1,0.758031735
0,0.364765878
0,0.172331655
1,0.490027205
0,0.384078322
1,0.149516671
0,0.008708927
1,0.224359365
1,0.674530153
1,0.473461694
1,0.232653724
0,0.171596763
1,0.661383153
1,0.476280739
0,0.188372312
1,0.660643742
1,0.560021217
1,0.498866655
0,0.417782676
0,0.0001
1,0.396102307
1,0.392494
0,0.067356851
1,0.506465866
1,0.741886036
1,0.493834563
1,0.622761886
1,0.778629673
0,0.376177326
0,0.0001
1,0.094023964
1,0.411875357
0,0.0001
1,0.656660618
1,0.358468475
0,0.150609275
0,0.0001
1,0.614080059
0,0.0001
0,0.0001
0,0.0001
0,0.0001
0,0.107406666
1,0.236991851
1,0.569899753
1,0.465197292
0,0.293648623
0,0.314567095
0,0.0879467
1,0.454703781
1,0.444991643
0,0.050408819
1,0.437551851
0,0.130305697
1,0.336272424
1,0.592396667
1,0.138354142
0,0.0001
1,0.834161136
0,0.023170873
1,0.323113794
0,0.211781092
0,0.444532586
1,0.443579097
0,0.0001
0,0.139058433
0,0.0001
0,0.0001
1,0.38499674
0,0.0001
0,0.0001
1,0.123681638
1,0.472032978
0,0.525912484
0,0.0001
1,0.396940427
0,0.26437863
1,0.016477121
0,0.0001
0,0.082716598
0,0.0001
1,0.783494732
0,0.109288479
0,0.157626045
0,0.236647676
1,0.740077106
0,0.0001
0,0.0001
0,0.206587293
0,0.0001
0,0.0001
1,0.577468692
1,0.421772481
1,0.762127968
0,0.0001
1,0.530366393
0,0.24857274
0,0.435365668
0,0.0001
1,0.506477522
1,0.191485506
1,0.804013908
0,0.0001
0,0.096306717
1,0.767580687
1,0.425041496
1,0.652461621
1,0.589906399
0,0.0001
1,0.643446801
0,0.259075579
0,0.0001
1,0.673050019
1,0.082421867
0,0.099447465
1,0.579345273
0,0.0001
0,0.057514014
1,0.461871654
1,0.689637808
0,0.0001
1,0.406664727
0,0.0001
0,0.569201064
0,0.228117263
1,0.458958547
0,0.282189415
1,0.715746041
1,0.369831765
1,0.311177796
0,0.0001
1,0.437475655
0,0.0001
0,0.0001
1,0.906274537
0,0.0001
0,0.133111991
1,0.669950473
1,0.519887446
0,0.0001
0,0.0001
0,0.117140248
1,0.712497054
1,0.893230805
1,0.494572867
1,0.299682746
0,0.0001
0,0.0001
1,0.499195639
1,0.615206839
0,0.0001
1,0.136910848
0,0.014205447
1,0.529345336
0,0.0001
1,0.251291365
0,0.0001
1,0.55477882
0,0.0001
1,0.426870088
0,0.0001
1,0.731543209
0,0.0001
1,0.374157588
1,0.528718106
0,0.0001
1,0.56013638
0,0.072086761
1,0.14616557
1,0.620443499
0,0.16173902
1,0.863615019
1,0.575539093
0,0.0001
1,0.369297454
1,0.306617238
1,0.487022496
0,0.103230158
1,0.421359953
0,0.0001
1,0.466354069
0,0.0001
1,0.343187848
1,0.289559068
0,0.2598892
0,0.139309321
0,0.0001
0,0.0001
1,0.756972227
1,0.120890758
0,0.197729503
0,0.003897131
1,0.416436328
0,0.012402934
0,0.0001
1,0.715699273
1,0.675610616
1,0.76506855
0,0.0001
1,0.740078389
1,0.841420838
1,0.946896945
0,0.321274399
0,0.0001
0,0.27794159
1,0.627639721
0,0.0001
0,0.249467153
0,0.547360596
1,0.247236577
0,0.133425249
0,0.370176607
0,0.0001
1,0.328332491
0,0.256813811
0,0.0001
1,0.290020592
0,0.0001
0,0.167306727
1,0.461690135
0,0.0001
0,0.013979646
1,0.38813855
0,0.0001
0,0.310334236
0,0.079071151
1,0.303275331
0,0.213885215
1,0.393860182
1,0.756254078
0,0.431842777
0,0.0001
1,0.654117607
0,0.0001
1,0.672115813
0,0.0001
0,0.0001
1,0.545970153
1,0.21624029
1,0.483109475
1,0.650828347
1,0.569211719
0,0.0001
0,0.049746375
1,0.355987251
0,0.0001
1,0.299716127
1,0.433379057
0,0.237669631
1,0.537777033
1,0.414516654
1,0.800943762
0,0.296561107
1,0.307934951
1,0.64754962
0,0.103993581
0,0.019950852
1,0.564411487
0,0.226002456
0,0.134567234
0,0.116892748
0,0.087493619
0,0.0001
0,0.0001
1,0.481522363
1,0.197206406
0,0.0001
0,0.0001
1,0.357638592
0,0.339037244
0,0.003120399
1,0.947301575
0,0.0001
1,0.784902692
0,0.044356782
0,0.0001
0,0.0001
0,0.0001
0,0.374658095
0,0.012133725
0,0.2948613
0,0.251805187
1,0.645569376
0,0.0001
0,0.0001
1,0.751735992
1,0.853200073
0,0.0001
1,0.610057866
1,0.205791168
1,0.410984321
0,0.0001
1,0.240038325
0,0.038818104
1,0.232435184
0,0.102906186
0,0.0001
1,0.569323556
0,0.037841539
1,0.414147987
0,0.0001
1,0.236093926
0,0.0001
1,0.236813976
1,0.514436048
0,0.0001
0,0.553110218
0,0.209966555
0,0.310611491
0,0.152955599
0,0.0001
0,0.327167013
0,0.0001
1,0.30384918
1,0.4794465
1,0.529956575
0,0.0001
0,0.0001
1,0.432274926
1,0.616129736
0,0.0001
0,0.253718861
1,0.407991737
0,0.033500072
0,0.0001
0,0.0001
0,0.122598716
1,0.462312565
1,0.636183238
0,0.15793286
1,0.525098812
1,0.664147094
0,0.119070125
0,0.0001
1,0.392602571
1,0.614612375
0,0.0001
1,0.616730864
1,0.608618551
1,0.669451092
0,0.0001
0,0.235920685
1,0.480602525
1,0.635614226
1,0.391854656
0,0.0001
1,0.171784877
0,0.204082013
0,0.0001
1,0.382701189
0,0.170276811
0,0.46742213
0,0.0001
0,0.219946765
1,0.440881918
1,0.449594655
0,0.0001
1,0.71216168
1,0.419952203
0,0.0001
0,0.139149903
1,0.455097673
1,0.882282519
0,0.0001
0,0.0001
1,0.505806915
1,0.902558123
0,0.0001
1,0.695310694
0,0.0001
0,0.0001
0,0.0001
0,0.0001
1,0.272600363
0,0.082621314
1,0.464395827
1,0.618428958
0,0.534692101
0,0.317367673
0,0.0001
1,0.442227556
0,0.312675623
0,0.0001
1,0.48229638
0,0.022550871
0,0.332781055
1,0.261599822
0,0.171541869
0,0.0001
1,0.657273788
0,0.349638823
1,0.728735209
0,0.0001
0,0.105249134
1,0.293894261
0,0.072273469
1,0.354570915
1,0.410064204
1,0.44739504
0,0.027614561
1,0.881784332
1,0.459467358
0,0.304315326
1,0.922627318
1,0.488731015
0,0.08180952
0,0.0001
1,0.431488904
0,0.0001
1,0.322131287
0,0.0001
1,0.458514891
0,0.303006734
1,0.267055728
1,0.451880527
0,0.0001
1,0.476867183
0,0.338357589
1,0.49317765
0,0.0001
0,0.137388967
0,0.0001
0,0.419280027
0,0.0001
0,0.0001
1,0.365977923
1,0.683814368
0,0.104229766
1,0.266574586
0,0.0001
1,0.473696875
0,0.0001
1,0.845870623
1,0.485531138
0,0.029826583
0,0.222998412
1,0.323085626
1,0.143263659
0,0.065829181
0,0.509900073
0,0.218699182
1,0.128101281
1,0.66981003
1,0.406257409
1,0.588944898
0,0.0001
0,0.0001
1,0.399266965
0,0.0001
1,0.548846566
1,0.432092622
0,0.035504595
1,0.10334879
1,0.354320931
0,0.081648827
1,0.278592341
1,0.159863424
1,0.335276015
1,0.317995478
1,0.224255567
0,0.0001
0,0.280176324
0,0.220114854
0,0.0001
1,0.50654723
0,0.186054882
1,0.736719984
1,0.420956699
1,0.150595767
1,0.622305524
1,0.551062046
1,0.677161834
0,0.41150115
0,0.007920189
1,0.734031477
1,0.562884889
1,0.471643698
0,0.0001
0,0.013878532
0,0.097310849
0,0.193405543
1,0.857663779
0,0.293717137
0,0.087031781
0,0.157869878
1,0.59291082
1,0.25365872
1,0.698096232
0,0.114082837
0,0.357157697
0,0.0001
1,0.822196311
1,0.253924476
0,0.087396663
0,0.21784532
1,0.416080847
1,0.295490847
0,0.057390894
1,0.600339658
0,0.030259019
0,0.0001
1,0.707060218
1,0.397500996
1,0.504801327
0,0.024271651
0,0.0001
0,0.0001
0,0.209848201
0,0.0001
0,0.0001
0,0.0001
0,0.04784182
0,0.278783048
1,0.476560849
0,0.249272095
0,0.046025145
1,0.786108381
0,0.058610238
1,0.485684526
0,0.0001
0,0.0001
0,0.080430574
1,0.344370136
1,0.658694756
0,0.0001
0,0.0001
1,0.439160045
0,0.0001
1,0.522014866
1,0.859105664
0,0.0001
0,0.437496173
0,0.0001
0,0.0001
0,0.526884013
0,0.0001
1,0.214610903
0,0.0001
0,0.016401764
0,0.0001
0,0.0001
0,0.241970477
1,0.695495837
0,0.317032673
1,0.607299397
1,0.548803481
1,0.33344099
1,0.559900239
0,0.208394223
1,0.374677024
1,0.691080187
0,0.320086813
1,0.711199976
0,0.194466238
0,0.233666338
1,0.700126118
1,0.692227304
0,0.0001
0,0.331453804
0,0.046248195
0,0.013222694
1,0.306499687
0,0.149594568
0,0.0001
0,0.053380806
0,0.0001
0,0.0001
0,0.023008113
0,0.0001
0,0.0001
0,0.229674723
0,0.0001
0,0.0001
1,0.321182671
1,0.428749642
1,0.566150251
0,0.0001
1,0.511773068
1,0.596826633
1,0.823276811
0,0.524878327
1,0.386924324
1,0.747610463
0,0.190618533
1,0.460864335
1,0.785706276
1,0.459875204
0,0.0001
0,0.254958384
1,0.185463342
0,0.035334286
0,0.075808253
1,0.854482472
1,0.914284326
1,0.212628439
1,0.265490188
0,0.0001
0,0.0001
0,0.0001
0,0.295387804
0,0.405498812
0,0.0001
0,0.0001
0,0.0001
0,0.0001
1,0.611449556
0,0.526792533
0,0.0001
0,0.133207602
0,0.0001
0,0.0001
1,0.300581865
1,0.158833098
0,0.005364351
1,0.62159008
1,0.453849922
0,0.187174104
1,0.866807928
1,0.806227147
0,0.0001
1,0.362711419
1,0.43583843
0,0.0001
1,0.602603798
1,0.663746571
0,0.199855035
1,0.722291116
1,0.406066934
0,0.331255266
0,0.104007554
1,0.765300649
1,0.209248341
0,0.0001
0,0.121066031
0,0.03341763
0,0.0001
1,0.610553932
0,0.0001
0,0.052303161
0,0.077363827
1,0.405943411
0,0.065796284
0,0.162271252
0,0.169449634
0,0.0001
1,0.779449556
1,0.19624205
0,0.294631095
0,0.291751597
0,0.0001
0,0.0001
0,0.013072464
1,0.517111032
0,0.0001
1,0.365286909
1,0.46479032
1,0.230558948
1,0.417642527
1,0.449738427
1,0.264059427
1,0.695118223
0,0.090090211
0,0.154512044
0,0.039469784
0,0.0001
0,0.0001
1,0.735186954
1,0.256441841
1,0.106400168
0,0.165173342
1,0.53432136
1,0.642590241
1,0.493018827
1,0.70583896
0,0.0001
0,0.202781829
1,0.971718293
0,0.0001
0,0.0001
1,0.418778437
0,0.0001
0,0.169709239
0,0.0001
1,0.769994131
1,0.5753103
0,0.232768014
1,0.133646896
1,0.553130877
1,0.279022074
1,0.751445026
1,0.421113498
0,0.0001
1,0.487873541
0,0.03316964
1,0.451994726
0,0.158025789
1,0.454016039
0,0.0001
0,0.0001
1,0.472813314
1,0.527048191
1,0.947359869
0,0.0001
1,0.729952878
0,0.0001
1,0.712574396
0,0.0001
0,0.250259731
0,0.0001
0,0.174528678
0,0.0001
1,0.318162899
1,0.197255877
1,0.439948842
0,0.0001
1,0.151991212
1,0.422560972
1,0.403602741
1,0.851536446
0,0.0001
1,0.312774584
1,0.500420116
0,0.24236253
1,0.766122181
1,0.683882082
0,0.0001
1,0.33215044
0,0.135521792
1,0.729956278
0,0.375581592
1,0.224688697
1,0.12008483
1,0.612192195
1,0.726500396
1,0.554846858
1,0.138862007
1,0.498733144
1,0.133926581
0,0.019771907
0,0.0001
0,0.0001
1,0.418526176
0,0.0001
1,0.693800082
1,0.094795326
1,0.925085811
0,0.15195066
1,0.788710019
0,0.0001
0,0.0001
0,0.297479909
1,0.290528007
1,0.601438588
0,0.0001
1,0.353469645
1,0.408118578
1,0.538191918
1,0.253631898
0,0.0001
1,0.526085645
0,0.0001
1,0.460109653
1,0.775072288
0,0.0001
1,0.489153238
0,0.0001
0,0.0001
0,0.034608624
1,0.411143627
1,0.403309021
1,0.690479379
1,0.58645295
1,0.703471435
0,0.240645419
0,0.317348965
0,0.0001
0,0.0001
1,0.479985015
0,0.051663453
0,0.151098679
1,0.400885126
1,0.669478979
0,0.0001
0,0.084509219
0,0.104969007
0,0.202747595
0,0.0001
1,0.248550676
1,0.736360718
1,0.507362049
1,0.45185447
0,0.170658129
0,0.0001
1,0.492524913
1,0.863828983
1,0.505563511
1,0.855626349
1,0.214503677
1,0.667043014
0,0.04338791
0,0.268321785
0,0.163068649
0,0.032860214
1,0.432603468
0,0.050831568
1,0.282183637
1,0.497255402
1,0.507714476
0,0.048046271
0,0.302599739
1,0.552843342
0,0.0001
0,0.0001
0,0.045763161
0,0.0001
1,0.35923354
1,0.275079272
1,0.490030294
0,0.093214431
1,0.33982672
1,0.228286029
0,0.173078966
0,0.24842934
0,0.0001
1,0.215257771
0,0.10263881
1,0.609961692
1,0.153339016
0,0.040604182
0,0.0001
1,0.420378131
0,0.035050649
0,0.0001
1,0.956775757
0,0.312246201
0,0.0001
1,0.619621516
0,0.062474506
1,0.83682199
0,0.0001
0,0.0001
0,0.087984095
1,0.513109824
1,0.168519626
0,0.0001
0,0.0125382
1,0.623915238
0,0.299362197
1,0.700795017
1,0.639515816
0,0.0001
1,0.423247208
1,0.314171344
0,0.0001
1,0.675042884
1,0.858816065
0,0.0001
0,0.262590264
0,0.107755031
1,0.642963514
1,0.684925359
1,0.439486907
1,0.474113532
1,0.248236629
1,0.573986919
0,0.015263223
1,0.65455098
1,0.699771428
